books_genre_id	genre_name	upper_layer_genre_id
001	本	000
001001	漫画（コミック）	001
001001001	少年	001001
001001001001	秋田書店 少年チャンピオンC	001001001
001001001002	スクウェア・エニックス ガンガンC	001001001
001001001005	講談社 アニメKC	001001001
001001001006	講談社 マガジンC	001001001
001001001008	集英社 ジャンプC	001001001
001001001009	小学館 少年サンデーC	001001001
001001001014	小学館 てんとう虫C	001001001
001001001015	ポプラ社 ブンブンC	001001001
001001001016	講談社 ボンボンC	001001001
001001001018	集英社 VジャンプC	001001001
001001001019	学習研究社 ノーラC	001001001
001001001020	徳間書店 アニメージュC	001001001
001001002	少女	001001
001001002001	秋田書店 ホラーC	001001002
001001002002	秋田書店 プリンセスC	001001002
001001002003	講談社 なかよしKC	001001002
001001002004	講談社 フレンドKC	001001002
001001002005	講談社 キスKC	001001002
001001002006	集英社 マーガレットC	001001002
001001002007	集英社 りぼんC	001001002
001001002008	小学館 フラワーC	001001002
001001002009	白泉社 花とゆめC	001001002
001001002011	集英社 クイーンズC	001001002
001001002012	新書館 WINGS C	001001002
001001002013	小学館 ちゃおC	001001002
001001002014	講談社デザートC	001001002
001001002015	角川書店 あすかC	001001002
001001002016	朝日ソノラマ 眠れぬ夜の奇妙なC	001001002
001001002017	幻冬舎 バーズコミックスガールズコレクション	001001002
001001002018	一迅社 IDコミックス	001001002
001001002019	講談社 コミックスデザート	001001002
001001002020	講談社 コミックスB	001001002
001001002022	角川書店 Asuka comics DX	001001002
001001002023	小学館 flowers comics	001001002
001001002024	一迅社 Zero-sum comics	001001002
001001002025	一迅社　百合姫コミックス	001001002
001001002026	メディアファクトリー MFCジーンS	001001002
001001003	青年	001001
001001003001	秋田書店 ヤングチャンピオンC	001001003
001001003002	秋田書店 サンデーC	001001003
001001003003	講談社 ヤングマガジンKC	001001003
001001003004	講談社モーニングKC	001001003
001001003005	集英社 ヤングジャンプC	001001003
001001003006	集英社 ビジネスジャンプC	001001003
001001003007	集英社 プレイボーイC	001001003
001001003008	小学館 ヤングサンデーC	001001003
